,#End Year,#FaceoffLosses,#FaceoffPercent,#FaceoffWins,#GamesPlayed,#GoalsAgainst,#GoalsFor,#Hits,#Losses,#OvertimeLosses,#OvertimeWins,#Penalties,#PenaltyKillGoalsAllowed,#PenaltyKillPercent,#PenaltyKills,#PenaltyMinutes,#Points,#PowerplayGoals,#PowerplayPercent,#Powerplays,#Rank,#Rows,#ShootoutLosses,#ShootoutWins,#ShorthandedGoalsAgainst,#ShorthandedGoalsFor,#Shots,#Team Abbr.,#Team City,#Team ID,#Team Name,#Wins,Unnamed: 0
0,2008,2137,53.3,2436,82,179,252,1418,21,7,0,429,57,83.2,339,937,115,80,22.0,364,1,,0,0,7,5,2562,DET,Detroit,16,Red Wings,54,0
1,2008,2077,51.2,2178,82,187,216,1787,23,10,0,429,44,84.4,282,1055,108,69,19.9,346,2,,0,0,9,7,2209,SJS,San Jose,26,Sharks,49,1
2,2008,2418,49.0,2322,82,216,257,2007,25,10,0,450,60,80.9,314,1050,104,89,25.5,349,3,,0,0,3,8,2123,MTL,Montreal,14,Canadiens,47,2
3,2008,2526,46.1,2161,82,212,240,1557,27,8,0,465,67,79.8,332,1139,102,77,21.7,355,4,,0,0,10,6,2026,PIT,Pittsburgh,10,Penguins,47,3
4,2008,2305,50.2,2320,82,184,197,1619,27,8,0,577,67,82.2,376,1441,102,59,18.0,328,5,,0,0,7,7,2042,ANA,Anaheim,29,Ducks,47,4
5,2008,2126,50.4,2160,82,193,198,1471,29,7,0,403,54,81.5,292,974,99,49,16.4,298,6,,0,0,8,6,2163,NJD,New Jersey,7,Devils,46,5
6,2008,2429,47.3,2180,82,210,220,1237,28,10,0,441,48,83.9,299,1088,98,64,20.1,318,7,,0,0,10,3,1998,MIN,Minnesota,25,Wild,44,6
7,2008,2143,50.4,2178,82,204,237,1619,30,7,0,462,50,85.1,335,1154,97,64,19.9,321,8,,0,0,7,13,1950,DAL,Dallas,27,Stars,45,7
8,2008,2107,52.3,2310,82,190,205,2137,27,13,0,446,51,83.9,316,1114,97,61,18.1,337,9,,0,0,6,4,2374,NYR,New York,9,Rangers,42,8
9,2008,2347,47.8,2148,82,216,224,1168,31,7,0,388,56,79.6,275,975,95,49,15.5,317,10,,0,0,5,2,2125,COL,Colorado,22,Avalanche,44,9
